Category,Taxonomic Group,Number of World Species - 2012,Number of World Species - 2014,Number of Indian Species - 2012,Number of Indian Species - 2014,% In India - 2012,% In India - 2014
PROTISTA,Protozoa,31250,NA,2577,3509,8.2,NA
PROTISTA,Total (Protista),31250,31259,2577,3509,8.2,11.2
ANIMALIA,Mesozoa,71,71,10,10,14.1,14.1
ANIMALIA,Porifera,4562,5000,500,500,11,10
ANIMALIA,Cnidaria,9924,10107,1042,1052,10.5,10.4
ANIMALIA,Ctenophora,100,100,12,12,12,12
ANIMALIA,Platyhelminthes,17500,17513,1650,1653,9.4,9.4
ANIMALIA,Nemertinea,NA,NA,NA,NA,NA,NA
ANIMALIA,Rotifera,2500,2044,330,370,13.2,18.1
ANIMALIA,Gastrotricha,3000,3000,100,100,3.3,3.3
ANIMALIA,Kinorhyncha,100,100,10,10,10,10
ANIMALIA,Nematoda,30040,30034,2902,2911,9.7,9.7
ANIMALIA,Nematomorpha,NA,NA,NA,NA,NA,NA
ANIMALIA,Acanthocephala,800,800,229,229,28.6,28.6
ANIMALIA,Sipuncula,145,145,35,35,24.1,24.1
ANIMALIA,Mollusca,66537,66535,5169,5178,7.8,7.8
ANIMALIA,Echiura,127,127,43,43,33.9,33.9
ANIMALIA,Annelida,12701,17002,842,1002,6.6,5.9
ANIMALIA,Onychophora,100,100,1,1,1,1
ANIMALIA,Arthropoda,999059,1169866,71480,73439,7.2,6.3
ANIMALIA,Crustacea,35538,60003,2944,3565,8.3,5.9
ANIMALIA,Insecta,867582,1020169,61461,63706,7.1,6.2
ANIMALIA,Arachnida,73451,73470,5829,5882,7.9,8
ANIMALIA,Pycnogonida,600,600,17,17,2.8,2.8
ANIMALIA,Chilopoda,3001,8000,101,101,3.4,1.3
ANIMALIA,Diplopoda,7500,7500,162,162,2.2,2.2
ANIMALIA,Symphyla,120,120,4,4,3.3,3.3
ANIMALIA,Merostomata,4,4,2,2,50,50
ANIMALIA,Phoronida,11,11,3,3,27.3,27.3
ANIMALIA,Bryozoa (Ectoprocta),4000,4000,200,200,5,5
ANIMALIA,Entoprocta,60,60,10,10,16.7,16.7
ANIMALIA,Brachiopoda,300,300,3,4,1,1.3
ANIMALIA,Chaetognatha,111,111,30,30,27,27
ANIMALIA,Tardigrada,514,514,30,30,5.8,5.8
ANIMALIA,Echinodermata,6225,6600,779,779,12.5,11.8
ANIMALIA,Hemichordata,120,120,12,12,10,10
ANIMALIA,Chordata,46499,64669,5163,5665,11.1,8.8
ANIMALIA,Protochordata (Cephalochordata+Urochordata),2106,2106,119,119,5.7,5.7
ANIMALIA,Pisces,21753,32156,2662,3092,12.2,9.6
ANIMALIA,Amphibia,5187,6776,314,371,6.1,5.5
ANIMALIA,Reptilia,5821,9232,464,530,8,5.7
ANIMALIA,Aves,9027,9026,1233,1234,13.7,13.7
ANIMALIA,Mammalia,4629,5416,397,423,8.6,7.8
Total (Animalia),Total (Animalia),1195887,1398972,89697,93382,7.5,6.7
Grand Total (Protista+Animalia),Grand Total (Protista+Animalia),1227137,1430231,92279,96891,7.5,6.8
